,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
20,Kamran Akmal ï¿½,53,32,7,3,165.62,c Walton b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
21,Kamran Akmal ï¿½,14,5,2,1,280.00,lbw b Mohammad Amir,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
22,Kamran Akmal ï¿½,10,8,2,0,125.00,c sub (CJ Green) b Watson,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
23,Kamran Akmal ï¿½,57,47,7,2,121.27,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
24,Kamran Akmal ï¿½,9,12,1,0,75.00,c Shoaib Malik b Mohammad Irfan,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
25,Kamran Akmal ï¿½,22,17,3,1,129.41,lbw b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
26,Kamran Akmal ï¿½,0,1,0,0,0.00,b Mohammad Nawaz,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
27,Kamran Akmal ï¿½,107,61,11,7,175.40,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
28,Kamran Akmal ï¿½,0,3,0,0,0.00,b Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
29,Kamran Akmal ï¿½,77,27,5,8,285.18,c Mukhtar Ahmed b Bopara,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
30,Kamran Akmal ï¿½,1,9,0,0,11.11,lbw b Patel,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
31,Kamran Akmal ï¿½,49,36,5,3,136.11,c Rossouw b Mohammad Nawaz,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
32,Kamran Akmal ï¿½,0,2,0,0,0.00,b Shaheen Shah Afridi,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
33,Kamran Akmal ï¿½,0,5,0,0,0.00,b Aamer Yamin,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
34,Kamran Akmal ï¿½,7,8,1,0,87.50,c sub (PD Salt) b Muhammad Musa,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
35,Kamran Akmal ï¿½,4,3,1,0,133.33,c Mohammad Ilyas b Mohammad Irfan,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Multan Sultans
36,Kamran Akmal ï¿½,0,5,0,0,0.00,b Mohammad Ilyas,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
37,Kamran Akmal ï¿½,19,12,1,2,158.33,c Shadab Khan b Zafar Gohar,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
38,Kamran Akmal ï¿½,72,50,7,4,144.00,b Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
39,Kamran Akmal ï¿½,3,6,0,0,50.00,b Rahat Ali,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
40,Kamran Akmal ï¿½,86,48,10,5,179.16,c Umer Khan b Munro,2019,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
41,Kamran Akmal ï¿½,22,26,4,0,84.61,c Rossouw b Mohammad Hasnain,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
42,Kamran Akmal ï¿½,74,43,10,3,172.09,c Shadab Khan b Delport,2019,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
43,Kamran Akmal ï¿½,21,15,3,1,140.00,b Mohammad Nawaz,,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
44,Kamran Akmal ï¿½,43,26,5,2,165.38,b Delport,2020,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
45,Kamran Akmal ï¿½,101,55,13,4,183.63,c Roy b Fawad Ahmed,2020,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
46,Kamran Akmal ï¿½,15,9,3,0,166.66,c Vince b Sohail Tanvir,2020,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
47,Kamran Akmal ï¿½,14,9,2,0,155.55,c Sohail Akhtar b Shaheen Shah Afridi,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
48,Kamran Akmal ï¿½,4,8,1,0,50.00,c Babar Azam b Aamer Yamin,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings
49,Kamran Akmal ï¿½,23,12,2,2,191.66,c Roy b Mohammad Hasnain,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
50,Kamran Akmal ï¿½,37,21,4,1,176.19,c Faheem Ashraf b Zafar Gohar,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
51,Kamran Akmal ï¿½,12,8,1,1,150.00,c Haris Rauf b Patel,2020,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
52,Kamran Akmal ï¿½,2,7,0,0,28.57,b Mohammad Irfan,2020,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
53,Kamran Akmal ï¿½,5,10,1,0,50.00,c Agha Salman b Salman Mirza,2021,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
54,Kamran Akmal ï¿½,37,24,5,2,154.16,lbw b Usman Qadir,2021,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
55,Kamran Akmal ï¿½,3,8,0,0,37.50,c Cutting b Usman Shinwari,2021,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
56,Kamran Akmal ï¿½,3,4,0,0,75.00,lbw b Mohammad Wasim,2021,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
57,Kamran Akmal ï¿½,21,17,4,0,123.52,c Mohammad Ilyas b Abbas Afridi,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
58,Kamran Akmal ï¿½,1,5,0,0,20.00,c Haris Rauf b Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
59,Kamran Akmal ï¿½,59,37,6,2,159.45,lbw b Mohammad Hasnain,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
60,Kamran Akmal ï¿½,35,27,5,0,129.62,c Imran Tahir b Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
61,Kamran Akmal ï¿½,9,9,2,0,100.00,b Aamer Yamin,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
62,Kamran Akmal ï¿½,53,32,7,2,165.62,c Iftikhar Ahmed b Hussain Talat,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
63,Kamran Akmal ï¿½,13,12,2,0,108.33,b Noor Ahmad,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
64,Kamran Akmal ï¿½,8,6,2,0,133.33,b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
65,Kamran Akmal ï¿½,36,28,5,1,128.57,b Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
66,Kamran Akmal ï¿½,41,24,4,2,170.83,b Zaman Khan,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
67,Kamran Akmal ï¿½,21,19,2,0,110.52,c Mohammad Nabi b Umaid Asif,2022,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
68,Kamran Akmal ï¿½,10,7,2,0,142.85,c Khushdil Shah b Shahnawaz Dahani,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
69,Kamran Akmal ï¿½,4,7,0,0,57.14,c Shahnawaz Dahani b Muzarabani,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
70,Kamran Akmal ï¿½,18,14,1,1,128.57,b Fawad Ahmed,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
0,Shahid Yousaf,16,16,1,0,100.00,b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
1,Shahid Yousaf,21,25,1,0,84.00,c & b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Shahid Yousaf,27,19,2,1,142.10,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
3,Shahid Yousaf,16,11,3,0,145.45,run out (Cooper),2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
4,Shahid Yousaf,15,21,2,0,71.42,c Zulfiqar Babar b Elliott,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
5,Shahid Yousaf,4,5,0,0,80.00,b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
0,Shahid Afridi (c),16,12,1,1,133.33,c & b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
1,Shahid Afridi (c),0,2,0,0,0.00,c Zulfiqar Babar b Umar Gul,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Shahid Afridi (c),17,9,1,1,188.88,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
3,Shahid Afridi (c),9,6,1,0,150.00,c Umar Akmal b Delport,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
4,Shahid Afridi (c),5,5,0,0,100.00,lbw b Bilawal Bhatti,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
5,Shahid Afridi (c),2,4,0,0,50.00,c Mohammad Nawaz b Elliott,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
6,Shahid Afridi (c),38,17,2,4,223.52,c Smith b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
0,Daren Sammy,10,4,0,1,250.00,run out (Saeed Ajmal),2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
1,Daren Sammy,48,31,1,4,154.83,c Mohammad Nawaz b Anwar Ali,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Daren Sammy,18,10,1,2,180.00,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
3,Daren Sammy,6,4,0,1,150.00,c Zohaib Khan b Cooper,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
4,Daren Sammy,11,6,1,1,183.33,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
5,Daren Sammy,38,29,5,1,131.03,c McCullum b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
6,Daren Sammy,9,8,2,0,112.50,b Imran Khalid,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
0,Wahab Riaz,9,5,1,0,180.00,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
1,Wahab Riaz,10,4,1,0,250.00,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Wahab Riaz,14,11,0,1,127.27,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
3,Wahab Riaz,22,16,3,0,137.50,c Ahmed Shehzad b Aizaz Cheema,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
4,Wahab Riaz,1,3,0,0,33.33,c Russell b Mohammad Irfan,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
5,Wahab Riaz,5,12,0,0,41.66,not out,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
6,Wahab Riaz,23,15,3,1,153.33,b Mohammad Sami,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
7,Wahab Riaz,2,3,0,0,66.66,b Usman Shinwari,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
8,Wahab Riaz,0,0,0,0,-,not out,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
9,Wahab Riaz,1,6,0,0,16.66,c ï¿½Sarfaraz Ahmed b Mills,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
10,Wahab Riaz,0,1,0,0,0.00,run out (ï¿½Sarfaraz Ahmed),2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
11,Wahab Riaz,7,4,1,0,175.00,b Rumman Raees,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
12,Wahab Riaz,8,6,0,0,133.33,run out (Denly/Mohammad Irfan),2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
13,Wahab Riaz,6,2,0,1,300.00,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
14,Wahab Riaz,33,25,5,0,132.00,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
15,Wahab Riaz,15,7,2,0,214.28,b Perera,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
16,Wahab Riaz,0,1,0,0,0.00,c Denly b Mills,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
17,Wahab Riaz,28,14,4,1,200.00,not out,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
18,Wahab Riaz,0,2,0,0,0.00,c Sikandar Raza b Mohammad Amir,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
19,Wahab Riaz,20,8,1,2,250.00,c Sahibzada Farhan b Mohammad Sami,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
20,Wahab Riaz,2,2,0,0,100.00,not out,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Multan Sultans
21,Wahab Riaz,0,0,0,0,-,not out,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
22,Wahab Riaz,2,2,0,0,100.00,not out,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
23,Wahab Riaz,11,6,2,0,183.33,c Livingstone b Usman Shinwari,2019,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
24,Wahab Riaz,0,1,0,0,0.00,not out,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
25,Wahab Riaz,1,2,0,0,50.00,run out (Rumman Raees),2019,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
26,Wahab Riaz,12,8,1,0,150.00,run out (Mohammad Nawaz/Bravo),,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
27,Wahab Riaz,0,1,0,0,0.00,c ï¿½Mohammad Rizwan b Umaid Asif,2020,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
28,Wahab Riaz,9,7,2,0,128.57,c Vince b Imran Tahir,2020,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
29,Wahab Riaz,13,10,0,1,130.00,not out,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
30,Wahab Riaz,1,2,0,0,50.00,b Brathwaite,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
31,Wahab Riaz,10,12,2,0,83.33,not out,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
32,Wahab Riaz,8,7,0,1,114.28,b Rumman Raees,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
33,Wahab Riaz,0,2,0,0,0.00,c Fakhar Zaman b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
34,Wahab Riaz,0,1,0,0,0.00,c ï¿½Billings b Shaheen Shah Afridi,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
35,Wahab Riaz,7,2,0,1,350.00,not out,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
36,Wahab Riaz,0,1,0,0,0.00,not out,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
0,Junaid Khan,1,1,0,0,100.00,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
1,Junaid Khan,0,0,0,0,-,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Junaid Khan,1,4,0,0,25.00,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
3,Junaid Khan,0,0,0,0,-,not out,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
4,Junaid Khan,1,2,0,0,50.00,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
5,Junaid Khan,2,2,0,0,100.00,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
6,Junaid Khan,1,3,0,0,33.33,lbw b Shaheen Shah Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
7,Junaid Khan,1,2,0,0,50.00,c Denly b Mohammad Irfan,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
8,Junaid Khan,0,0,0,0,-,not out,2019,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
9,Junaid Khan,0,1,0,0,0.00,run out (Dawson),2019,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi
10,Junaid Khan,0,1,0,0,0.00,not out,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
0,Ashar Zaidi,2,7,0,0,28.57,c ï¿½Kamran Akmal b Tait,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Ashar Zaidi,6,9,0,0,66.66,run out (Bopara),2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
0,Saeed Ajmal,10,10,1,0,100.00,not out,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Saeed Ajmal,0,0,0,0,-,not out,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
2,Saeed Ajmal,10,6,0,1,166.66,c Zulfiqar Babar b Anwar Ali,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
0,Rumman Raees,4,5,0,0,80.00,not out,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Rumman Raees,2,5,0,0,40.00,b Aizaz Cheema,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
2,Rumman Raees,0,4,0,0,0.00,c Pollard b Mohammad Amir,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
3,Rumman Raees,0,1,0,0,0.00,lbw b Christian,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
4,Rumman Raees,0,0,0,0,-,not out,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
5,Rumman Raees,2,6,0,0,33.33,not out,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
6,Rumman Raees,0,0,0,0,-,not out,2020,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
7,Rumman Raees,6,7,1,0,85.71,b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
8,Rumman Raees,6,4,1,0,150.00,not out,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
9,Rumman Raees,0,0,0,0,-,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
10,Rumman Raees,0,1,0,0,0.00,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
11,Rumman Raees,0,1,0,0,0.00,b Mohammad Wasim,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
12,Rumman Raees,2,5,0,0,40.00,lbw b Zaman Khan,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
0,Ravi Bopara,40,29,3,0,137.93,c sub (Saad Nasim) b Anwar Ali,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
1,Ravi Bopara,32,19,2,2,168.42,not out,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
2,Ravi Bopara,67,33,5,4,203.03,c Shahid Yousuf b Sammy,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
3,Ravi Bopara,71,43,3,4,165.11,not out,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
4,Ravi Bopara,14,17,1,0,82.35,c & b Elliott,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
5,Ravi Bopara,45,50,4,0,90.00,c Asif Ali b Azhar Mahmood,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
6,Ravi Bopara,23,22,2,0,104.54,c & b Imran Khan,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
7,Ravi Bopara,33,40,3,0,82.50,c Jordan b Mohammad Asghar,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
8,Ravi Bopara,16,9,3,0,177.77,c Zulfiqar Babar b Mills,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
9,Ravi Bopara,5,9,0,0,55.55,c Bilawal Bhatti b Sohail Tanvir,2017,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
10,Ravi Bopara,1,5,0,0,20.00,run out (Shadab Khan),2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
11,Ravi Bopara,30,20,2,2,150.00,c Sohaib Maqsood b Imran Khan,2017,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
12,Ravi Bopara,1,2,0,0,50.00,c Rossouw b Anwar Ali,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
13,Ravi Bopara,2,2,0,0,100.00,run out (sub [Zafar Gohar]),2017,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
14,Ravi Bopara,11,10,2,0,110.00,not out,2017,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
15,Ravi Bopara,14,15,2,0,93.33,c Shadab Khan b Watson,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
16,Ravi Bopara,6,11,0,0,54.54,st ï¿½Kamran Akmal b Mohammad Hafeez,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
17,Ravi Bopara,24,18,4,0,133.33,c Rossouw b Anwar Ali,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
18,Ravi Bopara,17,23,1,0,73.91,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
19,Ravi Bopara,50,34,2,2,147.05,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
20,Ravi Bopara,8,5,1,0,160.00,run out (sub [CAK Walton]/ï¿½Ronchi),2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
21,Ravi Bopara,0,1,0,0,0.00,c ï¿½Sarfaraz Ahmed b Laughlin,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
22,Ravi Bopara,4,5,0,0,80.00,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
23,Ravi Bopara,13,11,2,0,118.18,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
24,Ravi Bopara,7,13,0,0,53.84,c sub (Mohammad Asghar) b Dawson,2018,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
25,Ravi Bopara,3,3,0,0,100.00,not out,2019,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
26,Ravi Bopara,1,5,0,0,20.00,c Fakhar Zaman b Haris Rauf,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
27,Ravi Bopara,9,5,0,1,180.00,c Umaid Asif b Mohammad Amir,2020,Multan Cricket Stadium,Multan Sultans,Karachi Kings
28,Ravi Bopara,5,8,0,0,62.50,c Hammad Azam b Mohammad Amir Khan,2020,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
29,Ravi Bopara,33,36,4,0,91.66,c Fakhar Zaman b Wiese,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
30,Ravi Bopara,40,31,3,1,129.03,c Iftikhar Ahmed b Waqas Maqsood,2020,"National Stadium, Karachi",Multan Sultans,Karachi Kings
31,Ravi Bopara,1,2,0,0,50.00,c ï¿½Dunk b Wiese,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
32,Ravi Bopara,50,44,6,0,113.63,c Rashid Khan b Shaheen Shah Afridi,2021,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
33,Ravi Bopara,58,40,6,1,145.00,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
0,Imad Wasim,0,0,0,0,-,run out (Anwar Ali),2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
1,Imad Wasim,29,17,6,0,170.58,c ï¿½Billings b Russell,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
2,Imad Wasim,0,2,0,0,0.00,run out (Shahid Yousuf/Mohammad Asghar),2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
3,Imad Wasim,11,7,0,1,157.14,c Delport b Cooper,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
4,Imad Wasim,2,2,0,0,100.00,run out (Zulfiqar Babar),2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
5,Imad Wasim,0,2,0,0,0.00,lbw b Imran Khalid,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
6,Imad Wasim,6,4,1,0,150.00,c Asif Ali b Mohammad Sami,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
7,Imad Wasim,0,2,0,0,0.00,c Sammy b Wahab Riaz,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
8,Imad Wasim,6,3,1,0,200.00,not out,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
9,Imad Wasim,6,5,1,0,120.00,run out (ï¿½Mohammad Rizwan),2017,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
10,Imad Wasim,8,9,0,0,88.88,not out,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
11,Imad Wasim,6,1,0,1,600.00,not out,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
12,Imad Wasim,19,14,2,1,135.71,not out,2017,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
13,Imad Wasim,14,9,1,1,155.55,c Asif Ali b Rumman Raees,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
14,Imad Wasim,24,19,1,1,126.31,c Mohammad Hafeez b Jordan,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
15,Imad Wasim,26,22,2,1,118.18,c Smeed b Naseem Shah,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
16,Imad Wasim,0,1,0,0,0.00,c Rashid Khan b Haris Rauf,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
17,Imad Wasim,0,2,0,0,0.00,c Wahab Riaz b Mohammad Umar,2022,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
18,Imad Wasim,9,14,0,0,64.28,c Munro b Shadab Khan,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
19,Imad Wasim,55,28,6,3,196.42,c Hales b Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
20,Imad Wasim,32,16,5,1,200.00,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
21,Imad Wasim,8,6,0,1,133.33,b Rashid Khan,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
22,Imad Wasim,11,10,0,1,110.00,c Umar Akmal b Ashir Qureshi,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
