,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
31,Shane Watson,15,11,2,1,136.36,c Faheem Ashraf b Patel,2019,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
32,Shane Watson,20,15,1,1,133.33,c sub (Mohammad Rizwan) b Umer Khan,2019,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
33,Shane Watson,71,43,5,6,165.11,b Wahab Riaz,2019,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
34,Shane Watson,7,6,1,0,116.66,run out (Umar Amin),,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
35,Shane Watson,15,12,2,1,125.00,run out (Akif Javed),2020,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
36,Shane Watson,8,10,1,0,80.00,c Hasan Ali b Wahab Riaz,2020,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
37,Shane Watson,27,20,2,2,135.00,run out (Umaid Asif/ï¿½Walton),2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
38,Shane Watson,9,8,2,0,112.50,c Malan b Faheem Ashraf,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
39,Shane Watson,80,41,7,7,195.12,c Ali b Imran Tahir,2020,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
40,Shane Watson,23,17,1,2,135.29,c ï¿½Dunk b Dilbar Hussain,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
41,Shane Watson,19,14,4,0,135.71,c Livingstone b Hasan Ali,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
42,Shane Watson,0,1,0,0,0.00,lbw b Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
43,Shane Watson,66,34,7,4,194.11,c Babar Azam b Arshad Iqbal,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
0,Sharjeel Khan,10,11,0,1,90.90,c Mohammad Nabi b Zulfiqar Babar,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
1,Sharjeel Khan,8,3,2,0,266.66,b Tait,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
2,Sharjeel Khan,28,27,3,0,103.70,c Imad Wasim b Mohammad Amir,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
3,Sharjeel Khan,79,43,5,7,183.72,not out,2016,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
4,Sharjeel Khan,2,3,0,0,66.66,c Akbar-ur-Rehman b Zulfiqar Babar,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
5,Sharjeel Khan,28,22,2,2,127.27,c Shahid Afridi b Tait,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
6,Sharjeel Khan,1,3,0,0,33.33,c Shahzaib Hasan b Sohail Khan,2016,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
7,Sharjeel Khan,5,7,0,0,71.42,c ï¿½Mohammad Rizwan b Zia-ul-Haq,2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
8,Sharjeel Khan,9,9,2,0,100.00,c Iftikhar Ahmed b Sohail Khan,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
9,Sharjeel Khan,117,62,12,8,188.70,run out (Wahab Riaz/Hasan Ali),2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
10,Sharjeel Khan,12,11,1,1,109.09,b McCullum,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
11,Sharjeel Khan,1,4,0,0,25.00,lbw b Hasan Ali,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
12,Sharjeel Khan,19,11,1,2,172.72,c Shoaib Malik b Hasan Ali,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
13,Sharjeel Khan,6,12,0,0,50.00,c & b Mohammad Nawaz,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
14,Sharjeel Khan,16,9,2,1,177.77,lbw b Ali,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
15,Sharjeel Khan,38,20,3,4,190.00,c ï¿½Ronchi b Rumman Raees,2020,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
16,Sharjeel Khan,4,3,1,0,133.33,lbw b Hasan Ali,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
17,Sharjeel Khan,5,8,1,0,62.50,run out (ï¿½Wiese),2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
18,Sharjeel Khan,74,59,5,5,125.42,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
19,Sharjeel Khan,37,14,3,4,264.28,lbw b Akif Javed,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
20,Sharjeel Khan,0,2,0,0,0.00,b Naseem Shah,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
21,Sharjeel Khan,4,7,0,0,57.14,c Imran Tahir b Sohail Tanvir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
22,Sharjeel Khan,13,12,2,0,108.33,c Fakhar Zaman b Patel,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
23,Sharjeel Khan,4,4,1,0,100.00,lbw b Mohammad Hasnain,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
24,Sharjeel Khan,105,59,9,8,177.96,lbw b Hasan Ali,2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
25,Sharjeel Khan,27,14,4,1,192.85,c ï¿½Mohammad Rizwan b Shahnawaz Dahani,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
26,Sharjeel Khan,64,39,5,6,164.10,c Patel b Wiese,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
27,Sharjeel Khan,0,1,0,0,0.00,c Mohammad Irfan b Mohammad Imran,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
28,Sharjeel Khan,4,6,0,0,66.66,run out (Imran Khan),2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
29,Sharjeel Khan,25,17,1,2,147.05,c ï¿½Muhammad Akhlaq b Akif Javed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
30,Sharjeel Khan,25,24,2,1,104.16,c Haider Ali b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
31,Sharjeel Khan,13,10,1,1,130.00,c David b Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
32,Sharjeel Khan,45,34,3,4,132.35,b Arish Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
33,Sharjeel Khan,26,20,5,0,130.00,lbw b Mohammad Irfan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
34,Sharjeel Khan,43,31,3,3,138.70,c Shan Masood b Imran Tahir,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
35,Sharjeel Khan,10,9,2,0,111.11,c Duckett b Sohail Tanvir,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
36,Sharjeel Khan,60,39,8,3,153.84,b Mohammad Hafeez,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
37,Sharjeel Khan,0,1,0,0,0.00,c Haider Ali b Shoaib Malik,2022,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
38,Sharjeel Khan,6,7,1,0,85.71,run out (Asif Ali/Faheem Ashraf),2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
39,Sharjeel Khan,14,16,1,1,87.50,c Cutting b Salman Irshad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
40,Sharjeel Khan,44,29,4,3,151.72,c sub (Mubasir Khan) b Asif Ali,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
41,Sharjeel Khan,36,34,1,2,105.88,c Muhammad Amir Barki b Khushdil Shah,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
42,Sharjeel Khan,2,4,0,0,50.00,lbw b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
43,Sharjeel Khan,16,7,1,2,228.57,b Khurram Shahzad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
44,Sharjeel Khan,0,1,0,0,0.00,c ï¿½Mohammad Haris b Wahab Riaz,2023,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
45,Sharjeel Khan,34,26,4,1,130.76,c Munro b Curran,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
46,Sharjeel Khan,0,5,0,0,0.00,c ï¿½Sarfaraz Ahmed b Mohammad Nawaz,2023,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
47,Sharjeel Khan,8,6,0,1,133.33,b Rumman Raees,2023,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
0,Umar Amin,0,4,0,0,0.00,c Wright b Umar Gul,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
1,Umar Amin,4,6,0,0,66.66,c Junaid Khan b Mohammad Asghar,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
2,Umar Amin,31,31,4,0,100.00,c Shahid Afridi b Mohammad Irfan,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
3,Umar Amin,13,7,2,0,185.71,not out,2018,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
4,Umar Amin,6,5,1,0,120.00,b Mohammad Sami,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
5,Umar Amin,11,16,1,0,68.75,c Wahab Riaz b Sammy,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
6,Umar Amin,8,10,1,0,80.00,c Mohammad Irfan b Sohail Tanvir,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
7,Umar Amin,28,27,0,1,103.70,c Hales b Amad Butt,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
8,Umar Amin,61,39,10,1,156.41,not out,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
9,Umar Amin,15,18,1,0,83.33,st ï¿½Mohammad Rizwan b Sikandar Raza,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
10,Umar Amin,14,20,1,0,70.00,c Faheem Ashraf b Patel,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
11,Umar Amin,54,37,7,0,145.94,not out,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
12,Umar Amin,6,10,0,0,60.00,c sub (Amad Butt) b Faheem Ashraf,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
13,Umar Amin,1,1,0,0,100.00,not out,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
14,Umar Amin,0,5,0,0,0.00,c Wiese b Shaheen Shah Afridi,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
15,Umar Amin,38,33,3,2,115.15,c Sohail Tanvir b Mohammad Hasnain,,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
16,Umar Amin,29,23,4,0,126.08,b Ali,2020,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
17,Umar Amin,13,15,1,0,86.66,c ï¿½Mohammad Rizwan b Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
0,Babar Azam,15,18,1,0,83.33,c Mohammad Nabi b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
1,Babar Azam,0,8,0,0,0.00,c Mohammad Hafeez b Mohammad Asghar,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
2,Babar Azam,1,5,0,0,20.00,c Sammy b Hasan Ali,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
3,Babar Azam,50,42,4,1,119.04,run out (Ahmed Shehzad/Perera),2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
4,Babar Azam,9,10,1,0,90.00,c Bilawal Bhatti b Mohammad Irfan,2017,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
5,Babar Azam,47,30,5,2,156.66,not out,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
6,Babar Azam,46,38,6,1,121.05,c Hasan Ali b Shakib Al Hasan,2017,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
7,Babar Azam,36,37,4,0,97.29,c Hassan Khan b Mahmudullah,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
8,Babar Azam,49,42,7,0,116.66,c Umar Akmal b Fakhar Zaman,2017,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
9,Babar Azam,27,27,4,0,100.00,b Shadab Khan,2017,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
10,Babar Azam,25,21,5,0,119.04,lbw b Shadab Khan,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
11,Babar Azam,1,7,0,0,14.28,c Wahab Riaz b Jordan,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
12,Babar Azam,10,12,0,0,83.33,c ï¿½Sarfaraz Ahmed b Rahat Ali,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
13,Babar Azam,28,20,3,1,140.00,c Sammy b Ibtisam Sheikh,2018,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
14,Babar Azam,0,1,0,0,0.00,lbw b Mustafizur Rahman,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
15,Babar Azam,55,53,3,2,103.77,c Asif Ali b Hussain Talat,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
16,Babar Azam,32,32,3,1,100.00,c Anwar Ali b Watson,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
17,Babar Azam,58,39,6,1,148.71,c Ahmed Shehzad b Viljoen,2018,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
18,Babar Azam,61,49,6,1,124.48,c Narine b Sohail Khan,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
19,Babar Azam,66,50,4,4,132.00,c Dawson b Wahab Riaz,2018,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
20,Babar Azam,29,26,2,0,111.53,not out,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
21,Babar Azam,0,2,0,0,0.00,c Duminy b Mohammad Sami,2018,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
22,Babar Azam,63,45,6,2,140.00,c Dawson b Hasan Ali,2018,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
23,Babar Azam,77,59,6,1,130.50,c Shan Masood b Green,2019,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
24,Babar Azam,28,38,2,0,73.68,b Viljoen,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
25,Babar Azam,1,4,0,0,25.00,run out (Hasan Ali),2019,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
26,Babar Azam,27,21,4,0,128.57,run out (Patel),2019,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
27,Babar Azam,0,1,0,0,0.00,c Mohammad Nawaz b Sohail Tanvir,2019,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
28,Babar Azam,68,50,10,0,136.00,c Rumman Raees b Faheem Ashraf,2019,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
29,Babar Azam,11,12,2,0,91.66,b Lamichhane,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
30,Babar Azam,12,18,2,0,66.66,lbw b Mohammad Ilyas,2019,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
31,Babar Azam,56,46,6,1,121.73,c ï¿½Sarfaraz Ahmed b Mohammad Hasnain,2019,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
32,Babar Azam,13,9,2,0,144.44,c Wahab Riaz b Sameen Gul,2019,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
33,Babar Azam,42,32,4,0,131.25,c ï¿½Ronchi b Rumman Raees,2019,"National Stadium, Karachi",Karachi Kings,Islamabad United
34,Babar Azam,78,56,7,2,139.28,run out (Banton/Rahat Ali),2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
35,Babar Azam,26,23,5,0,113.04,b Mills,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
36,Babar Azam,13,12,1,0,108.33,c Mohammad Ilyas b Mohammad Irfan,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
37,Babar Azam,0,0,0,0,-,run out (Shadab Khan),2020,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
38,Babar Azam,70,59,10,0,118.64,not out,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
39,Babar Azam,38,29,6,0,131.03,c Sohail Akhtar b Maaz Khan,2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
40,Babar Azam,69,46,8,1,150.00,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
41,Babar Azam,19,20,3,0,95.00,b Muhammad Musa,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
42,Babar Azam,65,53,5,2,122.64,c ï¿½Zeeshan Ashraf b Sohail Tanvir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
43,Babar Azam,63,49,7,0,128.57,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
44,Babar Azam,24,20,3,0,120.00,c ï¿½Sarfaraz Ahmed b Mohammad Hasnain,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
45,Babar Azam,62,54,6,1,114.81,run out (Hales/Hasan Ali),2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
46,Babar Azam,90,60,13,1,150.00,not out,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
47,Babar Azam,5,5,0,0,100.00,b Shaheen Shah Afridi,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
48,Babar Azam,77,47,6,3,163.82,not out,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
49,Babar Azam,85,63,5,4,134.92,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
50,Babar Azam,81,54,7,3,150.00,c Mohammad Wasim b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
51,Babar Azam,0,1,0,0,0.00,lbw b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
52,Babar Azam,54,44,7,0,122.72,c Mohammad Hafeez b Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
