batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Cameron Delport,2,4,0,0,50.0,0,catch,Yasir Shah,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
Cameron Delport,15,13,2,0,115.38,0,catch,Maaz Khan,2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Cameron Delport,11,24,0,0,45.83,0,bowled,Shadab Khan,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Cameron Delport,62,44,5,2,140.9,0,bowled,Mohammad Hasnain,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Cameron Delport,2,5,0,0,40.0,0,catch,Mohammad Imran,2021,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Cameron Delport,1,3,0,0,33.33,0,bowled,Faheem Ashraf,2021,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Cameron Delport,0,1,0,0,0.0,0,bowled,Mohammad Irfan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Peshawar Zalmi
Cameron Delport,10,11,1,0,90.9,0,bowled,Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Lahore Qalandars
Cameron Delport,0,2,0,0,0.0,0,catch,Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Multan Sultans
Sohaib Maqsood,22,27,0,1,81.48,0,catch,Imad Wasim,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Sohaib Maqsood,57,44,5,2,129.54,0,catch,Mohammad Irfan,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Sohaib Maqsood,0,4,0,0,0.0,0,catch,Yasir Shah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Sohaib Maqsood,0,3,0,0,0.0,0,catch,Mohammad Sami,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Sohaib Maqsood,5,5,1,0,100.0,0,catch,Usman Shinwari,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Sohaib Maqsood,0,2,0,0,0.0,0,catch,Mahmudullah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Sohaib Maqsood,21,16,3,1,131.25,0,catch,Mohammad Asghar,2018,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,4,6,1,0,66.66,0,bowled,Yasir Shah,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Sohaib Maqsood,1,4,0,0,25.0,0,catch,Mohammad Sami,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Sohaib Maqsood,26,21,2,1,123.8,0,not out,not out,2018,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators
Sohaib Maqsood,85,42,4,7,202.38,0,not out,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,27,33,2,1,81.81,0,lbw,Laughlin,2018,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators
Sohaib Maqsood,16,18,1,0,88.88,0,bowled,Narine,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Sohaib Maqsood,11,7,1,1,157.14,0,catch,Usman Shinwari,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
Sohaib Maqsood,13,13,2,0,100.0,0,catch,Amad Butt,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Sohaib Maqsood,26,29,1,2,89.65,0,catch,Ghulam Mudassar,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Sohaib Maqsood,12,9,0,1,133.33,0,not out,not out,2019,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Sohaib Maqsood,7,7,1,0,100.0,0,catch,Mohammad Nawaz,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Sohaib Maqsood,4,6,1,0,66.66,0,catch,Shadab Khan,2019,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Sohaib Maqsood,20,20,3,0,100.0,0,catch,Bravo,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Sohaib Maqsood,16,17,1,1,94.11,0,catch,Dilbar Hussain,2020,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
Sohaib Maqsood,2,4,0,0,50.0,0,catch,Mohammad Wasim,2021,"National Stadium, Karachi",Multan Sultans,Islamabad United
Sohaib Maqsood,36,21,4,2,171.42,0,catch,Mahmood,2021,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,61,41,7,2,148.78,0,not out,not out,2021,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
Sohaib Maqsood,34,27,2,1,125.92,0,not out,not out,2021,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Sohaib Maqsood,2,4,0,0,50.0,0,catch,Mohammad Nawaz,2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Sohaib Maqsood,31,14,5,1,221.42,0,bowled,Waqas Maqsood,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings
Sohaib Maqsood,61,31,4,5,196.77,0,catch,Mohammad Imran,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,5,8,0,0,62.5,0,bowled,Zahir Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Quetta Gladiators
Sohaib Maqsood,60,40,3,4,150.0,0,catch,Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars
Sohaib Maqsood,12,7,1,1,171.42,0,catch,Fawad Ahmed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Sohaib Maqsood,59,41,7,3,143.9,0,catch,Faheem Ashraf,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Sohaib Maqsood,65,35,6,3,185.71,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,30,31,0,2,96.77,0,stumped,Mohammad Nabi,2022,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Sohaib Maqsood,20,17,2,1,117.64,0,catch,Shaheen Shah Afridi,2022,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
Sohaib Maqsood,21,23,2,1,91.3,0,catch,Faulkner,2022,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Sohaib Maqsood,13,11,2,0,118.18,0,run out,run out,2022,"National Stadium, Karachi",Multan Sultans,Islamabad United
Sohaib Maqsood,25,17,1,2,147.05,0,bowled,Usman Qadir,2022,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,1,1,0,0,100.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi
Sohaib Maqsood,29,26,4,0,111.53,0,catch,Haris Rauf,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Sohaib Maqsood,15,6,2,1,250.0,0,catch,Aamer Jamal,2023,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Sohaib Maqsood,60,48,7,2,125.0,0,bowled,Aamer Jamal,2023,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Mohammad Rizwan,37,31,3,1,119.35,0,bowled,Sohail Tanvir,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Mohammad Rizwan,4,4,1,0,100.0,0,catch,Tait,2016,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Mohammad Rizwan,50,27,5,3,185.18,0,not out,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Mohammad Rizwan,12,12,0,0,100.0,0,bowled,Bopara,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Mohammad Rizwan,0,7,0,0,0.0,0,catch,Mohammad Irfan,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Mohammad Rizwan,5,8,0,0,62.5,0,lbw,Hassan Khan,2017,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Mohammad Rizwan,11,12,2,0,91.66,0,catch,Wahab Riaz,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Mohammad Rizwan,29,22,3,0,131.81,0,lbw,Sohail Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Mohammad Rizwan,46,28,1,4,164.28,0,not out,not out,2017,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Mohammad Rizwan,3,9,0,0,33.33,0,bowled,Watson,2017,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Mohammad Rizwan,4,4,1,0,100.0,0,catch,Mohammad Hafeez,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Mohammad Rizwan,32,24,2,1,133.33,0,not out,not out,2017,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Mohammad Rizwan,5,3,1,0,166.66,0,catch,Watson,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Mohammad Rizwan,19,16,1,1,118.75,0,catch,Mohammad Asghar,2018,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Mohammad Rizwan,1,2,0,0,50.0,0,catch,Narine,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Mohammad Rizwan,21,9,2,1,233.33,0,not out,not out,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Mohammad Rizwan,26,27,0,0,96.29,0,not out,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Mohammad Rizwan,16,18,1,0,88.88,0,catch,Umaid Asif,2018,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Mohammad Rizwan,1,2,0,0,50.0,0,catch,Junaid Khan,2019,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
Mohammad Rizwan,34,33,1,1,103.03,0,bowled,Haris Rauf,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Mohammad Rizwan,32,27,2,0,118.51,0,not out,not out,2019,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Mohammad Rizwan,2,5,0,0,40.0,0,catch,Wiese,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Mohammad Rizwan,10,14,0,0,71.42,0,catch,Mohammad Ilyas,2019,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Mohammad Rizwan,0,1,0,0,0.0,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Dwayne Bravo,14,14,1,0,100.0,0,bowled,Mohammad Amir,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Dwayne Bravo,32,31,2,1,103.22,0,catch,Wahab Riaz,2016,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Dwayne Bravo,5,5,0,0,100.0,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Dwayne Bravo,26,17,3,0,152.94,0,run out,run out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Dwayne Bravo,1,1,0,0,100.0,0,not out,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Dwayne Bravo,20,17,3,0,117.64,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Dwayne Bravo,13,12,0,1,108.33,0,run out,run out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Dwayne Bravo,2,5,0,0,40.0,0,not out,not out,2019,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
Dwayne Bravo,0,2,0,0,0.0,0,catch,Faheem Ashraf,2019,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
Dwayne Bravo,9,15,1,0,60.0,0,run out,run out,2019,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Dwayne Bravo,12,7,2,0,171.42,0,not out,not out,2019,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Zohaib Khan,0,1,0,0,0.0,0,catch,Mohammad Amir,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Zohaib Khan,5,4,0,0,125.0,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Zohaib Khan,3,2,0,0,150.0,0,not out,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Zohaib Khan,10,6,1,0,166.66,0,not out,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Kevon Cooper,0,1,0,0,0.0,0,lbw,Mohammad Amir,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Kevon Cooper,0,1,0,0,0.0,0,catch,Rumman Raees,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Kevon Cooper,10,9,1,0,111.11,0,not out,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Kevon Cooper,0,0,0,0,0.0,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Naved Yasin,2,3,0,0,66.66,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Naved Yasin,25,28,2,1,89.28,0,catch,Saeed Ajmal,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Naved Yasin,0,2,0,0,0.0,0,catch,Bopara,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Zafar Gohar,0,1,0,0,0.0,0,not out,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Zafar Gohar,1,3,0,0,33.33,0,bowled,Sohail Khan,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Zafar Gohar,3,7,0,0,42.85,0,catch,Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Zafar Gohar,2,2,0,0,100.0,0,run out,run out,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Zafar Gohar,9,9,0,1,100.0,0,not out,not out,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Zafar Gohar,13,10,1,0,130.0,0,not out,not out,2020,"National Stadium, Karachi",Islamabad United,Karachi Kings
Zafar Gohar,3,4,0,0,75.0,0,not out,not out,2021,"National Stadium, Karachi",Islamabad United,Multan Sultans
Zafar Gohar,9,9,0,0,100.0,0,catch,Imran Tahir,2022,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans
Lendl Simmons,62,46,8,2,134.78,0,not out,not out,2016,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Lendl Simmons,11,19,0,1,57.89,0,catch,Mohammad Nawaz,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Lendl Simmons,1,3,0,0,33.33,0,run out,run out,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Lendl Simmons,9,12,1,0,75.0,0,bowled,Wahab Riaz,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Lendl Simmons,49,37,6,2,132.43,0,bowled,Shahid Afridi,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Lendl Simmons,19,18,3,1,105.55,0,catch,Russell,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Lendl Simmons,4,13,0,0,30.76,0,catch,Mohammad Irfan,2018,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
Lendl Simmons,55,39,8,1,141.02,0,catch,Sohail Khan,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Nauman Anwar,0,1,0,0,0.0,0,catch,Zia-ul-Haq,2016,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Nauman Anwar,0,1,0,0,0.0,0,catch,Anwar Ali,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Nauman Anwar,14,16,3,0,87.5,0,run out,run out,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Nauman Anwar,35,25,2,3,140.0,0,catch,Zohaib Khan,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
Nauman Anwar,6,9,1,0,66.66,0,bowled,Anwar Ali,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
James Vince,3,7,0,0,42.85,0,lbw,Zafar Gohar,2016,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
James Vince,30,33,1,1,90.9,0,stumped,Mohammad Nabi,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
James Vince,2,11,0,0,18.18,0,lbw,Saeed Ajmal,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
James Vince,44,28,5,1,157.14,0,bowled,Tait,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
James Vince,7,5,1,0,140.0,0,catch,Zohaib Khan,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
James Vince,23,17,1,1,135.29,0,bowled,Elliott,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
James Vince,2,5,0,0,40.0,0,catch,Imran Khalid,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
James Vince,28,17,6,0,164.7,0,lbw,Mohammad Nawaz,2019,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators
James Vince,84,41,7,6,204.87,0,catch,Lamichhane,2019,Sharjah Cricket Stadium,Multan Sultans,Lahore Qalandars
James Vince,0,1,0,0,0.0,0,bowled,Hasan Ali,2019,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi
James Vince,28,17,5,0,164.7,0,catch,Patel,2019,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
James Vince,41,38,2,2,107.89,0,run out,run out,2019,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
James Vince,9,6,2,0,150.0,0,bowled,Mohammad Nawaz,2019,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators
James Vince,16,26,2,0,61.53,0,bowled,Umer Khan,2019,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings
James Vince,25,14,2,2,178.57,0,catch,Shaheen Shah Afridi,2019,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
James Vince,18,9,2,1,200.0,0,bowled,Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
James Vince,42,31,6,1,135.48,0,bowled,Amad Butt,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
James Vince,5,5,1,0,100.0,0,catch,Hasan Ali,2020,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
James Vince,29,24,6,0,120.83,0,catch,Mohammad Nawaz,2020,Multan Cricket Stadium,Multan Sultans,Quetta Gladiators
James Vince,61,24,11,1,254.16,0,not out,not out,2020,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
James Vince,16,17,1,1,94.11,0,catch,Gregory,2021,"National Stadium, Karachi",Multan Sultans,Islamabad United
James Vince,84,55,9,3,152.72,0,catch,Mahmood,2021,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
James Vince,5,6,1,0,83.33,0,catch,Patel,2021,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
James Vince,45,29,5,1,155.17,0,catch,Arshad Iqbal,2021,"National Stadium, Karachi",Multan Sultans,Karachi Kings
James Vince,24,21,4,0,114.28,0,catch,Qais Ahmad,2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
James Vince,0,2,0,0,0.0,0,catch,Waqas Maqsood,2022,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
James Vince,49,38,5,0,128.94,0,not out,not out,2022,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
James Vince,29,22,3,1,131.81,0,bowled,Shadab Khan,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
James Vince,0,1,0,0,0.0,0,bowled,Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
James Vince,0,4,0,0,0.0,0,bowled,Usman Qadir,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
James Vince,29,24,3,1,120.83,0,bowled,Gregory,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Karachi Kings
James Vince,4,3,1,0,133.33,0,bowled,Rumman Raees,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
James Vince,22,14,5,0,157.14,0,bowled,Naseem Shah,2023,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
James Vince,46,36,3,2,127.77,0,bowled,Zaman Khan,2023,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
James Vince,75,34,7,6,220.58,0,run out,run out,2023,Multan Cricket Stadium,Karachi Kings,Multan Sultans
James Vince,27,12,3,2,225.0,0,catch,Anwar Ali,2023,"National Stadium, Karachi",Karachi Kings,Multan Sultans
James Vince,5,4,1,0,125.0,0,catch,Willey,2024,Multan Cricket Stadium,Karachi Kings,Multan Sultans
James Vince,38,30,3,1,126.66,0,not out,not out,2024,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
James Vince,8,4,2,0,200.0,0,bowled,Ahsan Hafeez,2024,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
James Vince,37,25,8,0,148.0,0,lbw,Usman Tariq,2024,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
James Vince,7,4,1,0,175.0,0,catch,Jordan,2024,"National Stadium, Karachi",Karachi Kings,Multan Sultans
James Vince,27,28,4,0,96.42,0,catch,Hosein,2024,Rawalpindi Cricket Stadium,Karachi Kings,Quetta Gladiators
James Vince,29,27,5,0,107.4,0,catch,Mills,2024,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
James Vince,42,27,6,1,155.55,0,catch,Tayyab Abbas,2024,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
James Vince,21,27,4,0,77.77,0,catch,Naveen-ul-Haq,2024,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Shakib Al Hasan,51,35,3,3,145.71,0,catch,Delport,2016,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Shakib Al Hasan,17,13,1,0,130.76,0,bowled,Mohammad Nabi,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Shakib Al Hasan,20,22,1,0,90.9,0,catch,Saeed Ajmal,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Shakib Al Hasan,1,4,0,0,25.0,0,catch,Shahid Afridi,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Shakib Al Hasan,9,9,0,0,100.0,0,catch,Zafar Gohar,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
Shakib Al Hasan,10,19,0,0,52.63,0,catch,Elliott,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
Shakib Al Hasan,7,6,1,0,116.66,0,not out,not out,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Shakib Al Hasan,11,12,0,0,91.66,0,catch,Sammy,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Shakib Al Hasan,5,7,0,0,71.42,0,catch,Amad Butt,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Shakib Al Hasan,18,16,3,0,112.5,0,catch,Usman Shinwari,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Shakib Al Hasan,30,24,2,1,125.0,0,catch,Sohail Tanvir,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Shakib Al Hasan,1,1,0,0,100.0,0,run out,run out,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Shakib Al Hasan,1,1,0,0,100.0,0,not out,not out,2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Shoaib Malik,12,7,0,2,171.42,1,not out,not out,2016,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Shoaib Malik,37,25,4,1,148.0,1,run out,run out,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Shoaib Malik,6,11,0,0,54.54,1,bowled,Mohammad Sami,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Shoaib Malik,8,7,0,1,114.28,1,catch,Mohammad Asghar,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Shoaib Malik,27,25,2,1,108.0,1,catch,Zafar Gohar,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
Shoaib Malik,45,38,3,2,118.42,1,catch,Mohammad Nabi,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
Shoaib Malik,7,11,0,0,63.63,1,not out,not out,2016,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Shoaib Malik,15,14,0,0,107.14,1,catch,Aamer Yamin,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Shoaib Malik,42,30,2,2,140.0,1,not out,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
Shoaib Malik,48,28,2,3,171.42,1,run out,run out,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Shoaib Malik,35,36,0,2,97.22,1,catch,Russell,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Shoaib Malik,13,10,1,0,130.0,1,catch,Umaid Asif,2018,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
Shoaib Malik,65,43,4,3,151.16,1,not out,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators
Shoaib Malik,3,10,0,0,30.0,1,catch,Shaheen Shah Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Shoaib Malik,6,8,0,0,75.0,1,bowled,Shahid Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
Shoaib Malik,12,15,2,0,80.0,1,bowled,Shadab Khan,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Shoaib Malik,52,28,5,2,185.71,1,catch,Usman Shinwari,2019,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
Shoaib Malik,31,29,0,2,106.89,1,not out,not out,2019,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Shoaib Malik,53,37,4,2,143.24,1,catch,Sohail Tanvir,2019,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators
Shoaib Malik,10,8,0,1,125.0,1,catch,Lamichhane,2019,Sharjah Cricket Stadium,Multan Sultans,Lahore Qalandars
Shoaib Malik,22,24,0,0,91.66,1,catch,Hasan Ali,2019,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi
Shoaib Malik,23,32,2,0,71.87,1,not out,not out,2019,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Shoaib Malik,28,21,2,1,133.33,1,not out,not out,2019,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi
Shoaib Malik,21,24,1,1,87.5,1,catch,Bravo,2019,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators
Shoaib Malik,26,26,2,0,100.0,1,catch,Umer Khan,2019,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings
Shoaib Malik,1,2,0,0,50.0,1,lbw,Mohammad Ilyas,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Shoaib Malik,48,32,1,4,150.0,1,not out,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
